dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
29/04/2020,29,4,2020,45,6,Finland,FI,FIN,5518050,Europe
28/04/2020,28,4,2020,119,3,Finland,FI,FIN,5518050,Europe
27/04/2020,27,4,2020,101,4,Finland,FI,FIN,5518050,Europe
26/04/2020,26,4,2020,80,9,Finland,FI,FIN,5518050,Europe
25/04/2020,25,4,2020,111,5,Finland,FI,FIN,5518050,Europe
24/04/2020,24,4,2020,155,23,Finland,FI,FIN,5518050,Europe
23/04/2020,23,4,2020,115,8,Finland,FI,FIN,5518050,Europe
22/04/2020,22,4,2020,146,43,Finland,FI,FIN,5518050,Europe
21/04/2020,21,4,2020,85,4,Finland,FI,FIN,5518050,Europe
20/04/2020,20,4,2020,102,4,Finland,FI,FIN,5518050,Europe
19/04/2020,19,4,2020,192,8,Finland,FI,FIN,5518050,Europe
18/04/2020,18,4,2020,120,7,Finland,FI,FIN,5518050,Europe
17/04/2020,17,4,2020,132,3,Finland,FI,FIN,5518050,Europe
16/04/2020,16,4,2020,76,8,Finland,FI,FIN,5518050,Europe
15/04/2020,15,4,2020,97,5,Finland,FI,FIN,5518050,Europe
14/04/2020,14,4,2020,90,3,Finland,FI,FIN,5518050,Europe
13/04/2020,13,4,2020,69,7,Finland,FI,FIN,5518050,Europe
12/4/2020,12,4,2020,136,1,Finland,FI,FIN,5518050,Europe
11/4/2020,11,4,2020,164,6,Finland,FI,FIN,5518050,Europe
10/4/2020,10,4,2020,118,2,Finland,FI,FIN,5518050,Europe
9/4/2020,9,4,2020,179,6,Finland,FI,FIN,5518050,Europe
8/4/2020,8,4,2020,132,7,Finland,FI,FIN,5518050,Europe
7/4/2020,7,4,2020,249,0,Finland,FI,FIN,5518050,Europe
6/4/2020,6,4,2020,45,2,Finland,FI,FIN,5518050,Europe
5/4/2020,5,4,2020,267,5,Finland,FI,FIN,5518050,Europe
4/4/2020,4,4,2020,97,1,Finland,FI,FIN,5518050,Europe
3/4/2020,3,4,2020,72,2,Finland,FI,FIN,5518050,Europe
2/4/2020,2,4,2020,62,0,Finland,FI,FIN,5518050,Europe
1/4/2020,1,4,2020,71,4,Finland,FI,FIN,5518050,Europe
31/03/2020,31,3,2020,95,2,Finland,FI,FIN,5518050,Europe
30/03/2020,30,3,2020,0,2,Finland,FI,FIN,5518050,Europe
29/03/2020,29,3,2020,193,2,Finland,FI,FIN,5518050,Europe
28/03/2020,28,3,2020,67,3,Finland,FI,FIN,5518050,Europe
27/03/2020,27,3,2020,78,1,Finland,FI,FIN,5518050,Europe
26/03/2020,26,3,2020,88,2,Finland,FI,FIN,5518050,Europe
25/03/2020,25,3,2020,92,0,Finland,FI,FIN,5518050,Europe
24/03/2020,24,3,2020,74,0,Finland,FI,FIN,5518050,Europe
23/03/2020,23,3,2020,105,0,Finland,FI,FIN,5518050,Europe
22/03/2020,22,3,2020,71,1,Finland,FI,FIN,5518050,Europe
21/03/2020,21,3,2020,50,0,Finland,FI,FIN,5518050,Europe
20/03/2020,20,3,2020,31,0,Finland,FI,FIN,5518050,Europe
19/03/2020,19,3,2020,50,0,Finland,FI,FIN,5518050,Europe
18/03/2020,18,3,2020,47,0,Finland,FI,FIN,5518050,Europe
17/03/2020,17,3,2020,5,0,Finland,FI,FIN,5518050,Europe
16/03/2020,16,3,2020,57,0,Finland,FI,FIN,5518050,Europe
15/03/2020,15,3,2020,27,0,Finland,FI,FIN,5518050,Europe
14/03/2020,14,3,2020,28,0,Finland,FI,FIN,5518050,Europe
13/03/2020,13,3,2020,96,0,Finland,FI,FIN,5518050,Europe
12/3/2020,12,3,2020,19,0,Finland,FI,FIN,5518050,Europe
10/3/2020,10,3,2020,10,0,Finland,FI,FIN,5518050,Europe
9/3/2020,9,3,2020,11,0,Finland,FI,FIN,5518050,Europe
7/3/2020,7,3,2020,7,0,Finland,FI,FIN,5518050,Europe
6/3/2020,6,3,2020,5,0,Finland,FI,FIN,5518050,Europe
4/3/2020,4,3,2020,1,0,Finland,FI,FIN,5518050,Europe
2/3/2020,2,3,2020,3,0,Finland,FI,FIN,5518050,Europe
1/3/2020,1,3,2020,0,0,Finland,FI,FIN,5518050,Europe
29/02/2020,29,2,2020,1,0,Finland,FI,FIN,5518050,Europe
28/02/2020,28,2,2020,0,0,Finland,FI,FIN,5518050,Europe
27/02/2020,27,2,2020,1,0,Finland,FI,FIN,5518050,Europe
26/02/2020,26,2,2020,0,0,Finland,FI,FIN,5518050,Europe
25/02/2020,25,2,2020,0,0,Finland,FI,FIN,5518050,Europe
24/02/2020,24,2,2020,0,0,Finland,FI,FIN,5518050,Europe
23/02/2020,23,2,2020,0,0,Finland,FI,FIN,5518050,Europe
22/02/2020,22,2,2020,0,0,Finland,FI,FIN,5518050,Europe
21/02/2020,21,2,2020,0,0,Finland,FI,FIN,5518050,Europe
20/02/2020,20,2,2020,0,0,Finland,FI,FIN,5518050,Europe
19/02/2020,19,2,2020,0,0,Finland,FI,FIN,5518050,Europe
18/02/2020,18,2,2020,0,0,Finland,FI,FIN,5518050,Europe
17/02/2020,17,2,2020,0,0,Finland,FI,FIN,5518050,Europe
16/02/2020,16,2,2020,0,0,Finland,FI,FIN,5518050,Europe
15/02/2020,15,2,2020,0,0,Finland,FI,FIN,5518050,Europe
14/02/2020,14,2,2020,0,0,Finland,FI,FIN,5518050,Europe
13/02/2020,13,2,2020,0,0,Finland,FI,FIN,5518050,Europe
12/2/2020,12,2,2020,0,0,Finland,FI,FIN,5518050,Europe
11/2/2020,11,2,2020,0,0,Finland,FI,FIN,5518050,Europe
10/2/2020,10,2,2020,0,0,Finland,FI,FIN,5518050,Europe
9/2/2020,9,2,2020,0,0,Finland,FI,FIN,5518050,Europe
8/2/2020,8,2,2020,0,0,Finland,FI,FIN,5518050,Europe
7/2/2020,7,2,2020,0,0,Finland,FI,FIN,5518050,Europe
6/2/2020,6,2,2020,0,0,Finland,FI,FIN,5518050,Europe
5/2/2020,5,2,2020,0,0,Finland,FI,FIN,5518050,Europe
4/2/2020,4,2,2020,0,0,Finland,FI,FIN,5518050,Europe
3/2/2020,3,2,2020,0,0,Finland,FI,FIN,5518050,Europe
2/2/2020,2,2,2020,0,0,Finland,FI,FIN,5518050,Europe
1/2/2020,1,2,2020,0,0,Finland,FI,FIN,5518050,Europe
31/01/2020,31,1,2020,0,0,Finland,FI,FIN,5518050,Europe
30/01/2020,30,1,2020,1,0,Finland,FI,FIN,5518050,Europe
29/01/2020,29,1,2020,0,0,Finland,FI,FIN,5518050,Europe
28/01/2020,28,1,2020,0,0,Finland,FI,FIN,5518050,Europe
27/01/2020,27,1,2020,0,0,Finland,FI,FIN,5518050,Europe
26/01/2020,26,1,2020,0,0,Finland,FI,FIN,5518050,Europe
25/01/2020,25,1,2020,0,0,Finland,FI,FIN,5518050,Europe
24/01/2020,24,1,2020,0,0,Finland,FI,FIN,5518050,Europe
23/01/2020,23,1,2020,0,0,Finland,FI,FIN,5518050,Europe
22/01/2020,22,1,2020,0,0,Finland,FI,FIN,5518050,Europe
21/01/2020,21,1,2020,0,0,Finland,FI,FIN,5518050,Europe
20/01/2020,20,1,2020,0,0,Finland,FI,FIN,5518050,Europe
19/01/2020,19,1,2020,0,0,Finland,FI,FIN,5518050,Europe
18/01/2020,18,1,2020,0,0,Finland,FI,FIN,5518050,Europe
17/01/2020,17,1,2020,0,0,Finland,FI,FIN,5518050,Europe
16/01/2020,16,1,2020,0,0,Finland,FI,FIN,5518050,Europe
15/01/2020,15,1,2020,0,0,Finland,FI,FIN,5518050,Europe
14/01/2020,14,1,2020,0,0,Finland,FI,FIN,5518050,Europe
13/01/2020,13,1,2020,0,0,Finland,FI,FIN,5518050,Europe
12/1/2020,12,1,2020,0,0,Finland,FI,FIN,5518050,Europe
11/1/2020,11,1,2020,0,0,Finland,FI,FIN,5518050,Europe
10/1/2020,10,1,2020,0,0,Finland,FI,FIN,5518050,Europe
9/1/2020,9,1,2020,0,0,Finland,FI,FIN,5518050,Europe
8/1/2020,8,1,2020,0,0,Finland,FI,FIN,5518050,Europe
7/1/2020,7,1,2020,0,0,Finland,FI,FIN,5518050,Europe
6/1/2020,6,1,2020,0,0,Finland,FI,FIN,5518050,Europe
5/1/2020,5,1,2020,0,0,Finland,FI,FIN,5518050,Europe
4/1/2020,4,1,2020,0,0,Finland,FI,FIN,5518050,Europe
3/1/2020,3,1,2020,0,0,Finland,FI,FIN,5518050,Europe
2/1/2020,2,1,2020,0,0,Finland,FI,FIN,5518050,Europe
1/1/2020,1,1,2020,0,0,Finland,FI,FIN,5518050,Europe
31/12/2019,31,12,2019,0,0,Finland,FI,FIN,5518050,Europe
29/04/2020,29,4,2020,1065,367,France,FR,FRA,66987244,Europe
28/04/2020,28,4,2020,1195,437,France,FR,FRA,66987244,Europe
27/04/2020,27,4,2020,461,242,France,FR,FRA,66987244,Europe
26/04/2020,26,4,2020,1537,369,France,FR,FRA,66987244,Europe
25/04/2020,25,4,2020,1773,389,France,FR,FRA,66987244,Europe
24/04/2020,24,4,2020,1653,516,France,FR,FRA,66987244,Europe
23/04/2020,23,4,2020,1827,544,France,FR,FRA,66987244,Europe
22/04/2020,22,4,2020,2667,531,France,FR,FRA,66987244,Europe
21/04/2020,21,4,2020,2051,547,France,FR,FRA,66987244,Europe
20/04/2020,20,4,2020,785,395,France,FR,FRA,66987244,Europe
19/04/2020,19,4,2020,2569,642,France,FR,FRA,66987244,Europe
18/04/2020,18,4,2020,405,761,France,FR,FRA,66987244,Europe
17/04/2020,17,4,2020,2641,753,France,FR,FRA,66987244,Europe
16/04/2020,16,4,2020,2633,1438,France,FR,FRA,66987244,Europe
15/04/2020,15,4,2020,5497,762,France,FR,FRA,66987244,Europe
14/04/2020,14,4,2020,2673,574,France,FR,FRA,66987244,Europe
13/04/2020,13,4,2020,1613,561,France,FR,FRA,66987244,Europe
12/4/2020,12,4,2020,3114,635,France,FR,FRA,66987244,Europe
11/4/2020,11,4,2020,4342,987,France,FR,FRA,66987244,Europe
10/4/2020,10,4,2020,4286,1341,France,FR,FRA,66987244,Europe
9/4/2020,9,4,2020,3881,541,France,FR,FRA,66987244,Europe
8/4/2020,8,4,2020,3777,1417,France,FR,FRA,66987244,Europe
7/4/2020,7,4,2020,3912,833,France,FR,FRA,66987244,Europe
6/4/2020,6,4,2020,1873,518,France,FR,FRA,66987244,Europe
5/4/2020,5,4,2020,4267,1053,France,FR,FRA,66987244,Europe
4/4/2020,4,4,2020,5233,2004,France,FR,FRA,66987244,Europe
3/4/2020,3,4,2020,2116,471,France,FR,FRA,66987244,Europe
2/4/2020,2,4,2020,4861,509,France,FR,FRA,66987244,Europe
1/4/2020,1,4,2020,7578,499,France,FR,FRA,66987244,Europe
31/03/2020,31,3,2020,4376,418,France,FR,FRA,66987244,Europe
30/03/2020,30,3,2020,2599,292,France,FR,FRA,66987244,Europe
29/03/2020,29,3,2020,4611,319,France,FR,FRA,66987244,Europe
28/03/2020,28,3,2020,3809,299,France,FR,FRA,66987244,Europe
27/03/2020,27,3,2020,3922,365,France,FR,FRA,66987244,Europe
26/03/2020,26,3,2020,2931,231,France,FR,FRA,66987244,Europe
25/03/2020,25,3,2020,2446,240,France,FR,FRA,66987244,Europe
24/03/2020,24,3,2020,3838,186,France,FR,FRA,66987244,Europe
23/03/2020,23,3,2020,1559,112,France,FR,FRA,66987244,Europe
22/03/2020,22,3,2020,1847,112,France,FR,FRA,66987244,Europe
21/03/2020,21,3,2020,1617,78,France,FR,FRA,66987244,Europe
20/03/2020,20,3,2020,1861,128,France,FR,FRA,66987244,Europe
19/03/2020,19,3,2020,1404,69,France,FR,FRA,66987244,Europe
18/03/2020,18,3,2020,1097,27,France,FR,FRA,66987244,Europe
17/03/2020,17,3,2020,1210,21,France,FR,FRA,66987244,Europe
16/03/2020,16,3,2020,924,36,France,FR,FRA,66987244,Europe
15/03/2020,15,3,2020,838,12,France,FR,FRA,66987244,Europe
14/03/2020,14,3,2020,785,18,France,FR,FRA,66987244,Europe
13/03/2020,13,3,2020,595,13,France,FR,FRA,66987244,Europe
12/3/2020,12,3,2020,497,15,France,FR,FRA,66987244,Europe
